Name,City,Region,Notes,Parent Organization,Technology Focus,Diversity Focus,Twitter,URL,organization_logo
Girls Who Code HC,,AMER-East,,Girls Who Code,Youth Education,Women in Tech,@girlswhocode_hc,http://www.techchangers.org,https://theme.zdassets.com/theme_assets/980048/9a66f42e4058383ff2a40b3b368400950bc8d154.png
Girls Who Code NHS,,AMER-C-North,,Girls Who Code,Youth Education,Women in Tech,@GirlsWhoCodeNHS,https://docs.google.com/forms/d/1F7alJk8ZM0CFq-jJBP3Y7ocES9EGYZibethT90aTBq0/edit,https://theme.zdassets.com/theme_assets/980048/9a66f42e4058383ff2a40b3b368400950bc8d154.png
HarvardWomen in Tech + Allies,"Cambridge, Massachusett",AMER-East,,,General Technology,Women in Tech,@HarvardWIT,http://wit.abcd.harvard.edu/,
Houston Latinas in Tech,"Houston, Texas",AMER-C-South,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/houston,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Lee’s Summit Girls Who Code,,AMER-C-South,,Girls Who Code,Youth Education,Women in Tech,@LSGirlsWhoCode,,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
London Latinas in Tech,"London, England",EMEA-UKN,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/london,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Los Angeles Latinas in Tech,"Los Angeles, California",AMER - West,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/los-angeles,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
LZHS Girls Who Code,,AMER-C-North,,Girls Who Code,Youth Education,Women in Tech,@LZHSGWC,https://lzhsgirlswhocode.glitch.me/about.html,https://pbs.twimg.com/profile_images/1256217094745657344/G8Byq6Ws_400x400.jpg
Mexico Latinas in Tech,"Mexico City, Mexico",NASA-Latam,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/mexico,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
Miami Latinas in Tech,"Miami, Florida",AMER-East,,Latinas in Tech,General Technology,"Latinx,Women in Tech",,https://www.latinasintech.org/chapter/miami,https://www.latinasintech.org/wp-content/uploads/2019/11/Logo_LiT-1.png
MusesCodeJS,,APJ-ANZ,,,Javascript,Women in Tech,@BrisMuses,http://musescodejs.org,
